Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit (sec),Correct answer(s)
¿Qué diferencia principal hay entre Sociedad de la Información y Sociedad del Conocimiento?,La SI tiene más ordenadores,La SC transforma información en conocimiento útil y crítico,No hay diferencia,La SC no usa Internet,30,2
¿Qué término describe el exceso de información que impide analizarla bien?,Infoxicación,Big Data,Phishing,Streaming,20,1
¿Qué es la brecha digital?,Un virus informático,Desigualdad en acceso y uso de las TIC,Un tipo de red social,Un lenguaje de programación,20,2
¿Cuál es un ejemplo de comercio electrónico C2C?,Amazon vendiendo a un cliente,Wallapop entre particulares,Una empresa vende a otra empresa,Un ayuntamiento ofrece trámites,20,2
"En publicidad online, ¿qué significa SEO?",Pagar por cada clic,Posicionamiento orgánico en buscadores,Vender datos personales,Crear virus,20,2
¿Qué derecho del RGPD permite pedir que se borren tus datos de Internet?,Derecho al olvido,Derecho al pago,Derecho a fotocopiar,Derecho a la portabilidad física,20,1
¿Qué significan las siglas RGPD?,Reglamento General de Protección de Datos,Red General de Procesadores Digitales,Registro Global de Páginas Digitales,Reglamento de Gestión de Proyectos Docentes,20,1
¿Cuál de estos es un nuevo perfil laboral de la economía digital?,Data Scientist,Escribano a mano,Telefonista analógica,Linotipista,20,1
¿Cómo se llama el trabajo por encargo mediado por plataformas como Glovo o Upwork?,Gig Economy,Economía agraria,Fordismo,Trueque,20,1
¿Cuáles son las 5 V del Big Data?,"Volumen, Velocidad, Variedad, Veracidad y Valor","Voz, Vídeo, Voto, Vista y Viaje","Verbo, Vocabulario, Verso, Volumen y Vía","Virus, Vacuna, Vector, Valor y Venta",30,1
Un termostato que aprende tus horarios y se controla desde el móvil es un ejemplo de...,Big Data,Internet de las Cosas (IoT),Realidad Virtual,Obsolescencia programada,20,2
"¿Qué rama de la IA crea contenido nuevo como texto o imágenes (ChatGPT, Midjourney)?",IA Generativa,Calculadora,Hoja de cálculo,Antivirus,20,1
¿Qué tecnología permite que una máquina aprenda de los datos sin ser programada explícitamente?,Machine Learning,Copy-Paste,Bluetooth,PDF,20,1
Un robot colaborativo que trabaja junto a humanos en una fábrica se llama...,Cobot,Tamagotchi,Dron acuático,Plotter,20,1
¿Cuál NO es una amenaza de la Sociedad de la Información?,Phishing,Fake news y deepfakes,Acceso a bibliotecas online,Ciberacoso,20,3
¿Qué es el phishing?,Una técnica de pesca deportiva,Suplantación para robar datos/contraseñas,Un tipo de impresora 3D,Un lenguaje de programación,20,2
¿Qué es la obsolescencia programada?,Diseñar productos para que duren poco a propósito,Programar en Python,Reciclar correctamente,Actualizar software gratis,20,1
¿Cuántas toneladas de basura electrónica (RAEE) genera el mundo al año aprox.?,~62 millones de toneladas,100 kilos,2 toneladas,"Ninguna, todo se recicla",20,1
¿Qué significa Green IT?,Tecnologías de la información sostenibles y eficientes,Pintar los ordenadores de verde,Usar solo papel verde,Un videojuego,20,1
¿Qué ODS está más relacionado con consumo responsable y economía circular?,ODS 12 - Producción y consumo responsables,ODS 1 - Fin de la pobreza solo,ODS 5 - Igualdad de género solo,Ningún ODS,20,1
